epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2187.34,1.44956,1.76291,0.01197,0.62766,0.54967,0.54331,0.36986,1.42905,1.78334,0.01024,0.000660045,0.000660045,0.000660045
43,2233.41,1.48067,1.80182,0.01182,0.65082,0.54643,0.54862,0.38188,1.38764,1.73742,0.00991,0.000649046,0.000649046,0.000649046
44,2287.49,1.52232,1.86266,0.01196,0.65852,0.54828,0.55227,0.37668,1.44185,1.77307,0.00986,0.000638047,0.000638047,0.000638047
45,2334.89,1.44276,1.90157,0.01299,0.66718,0.55586,0.5658,0.36191,1.52391,1.82529,0.01071,0.000627048,0.000627048,0.000627048
46,2383.84,1.42618,1.75899,0.01169,0.6832,0.51421,0.55032,0.39111,1.33273,1.78501,0.00909,0.000616049,0.000616049,0.000616049
47,2436.42,1.32267,1.62836,0.0098,0.66072,0.53301,0.55204,0.37526,1.44295,1.7625,0.0098,0.000605051,0.000605051,0.000605051
48,2493.9,1.46768,1.77701,0.01194,0.66598,0.52909,0.56544,0.39812,1.32563,1.76882,0.00905,0.000594052,0.000594052,0.000594052
49,2553.67,1.43427,1.77343,0.01157,0.69099,0.51254,0.56031,0.34236,1.57381,1.84899,0.01022,0.000583053,0.000583053,0.000583053
50,2611.68,1.5019,1.78227,0.01251,0.67254,0.53197,0.55481,0.39393,1.35001,1.73946,0.00883,0.000572054,0.000572054,0.000572054
51,2671.42,1.53534,1.80118,0.01176,0.70241,0.55108,0.59169,0.37693,1.49789,1.69616,0.01027,0.000561055,0.000561055,0.000561055
52,2728.73,1.46423,1.81137,0.01309,0.68953,0.53533,0.57251,0.38243,1.43229,1.69018,0.00942,0.000550056,0.000550056,0.000550056
53,2783.91,1.37514,1.71253,0.01192,0.63509,0.47625,0.4987,0.34335,1.45736,1.86065,0.00993,0.000539057,0.000539057,0.000539057
54,2840.43,1.43427,1.71355,0.01108,0.6346,0.4847,0.50569,0.35604,1.41878,1.85747,0.00935,0.000528058,0.000528058,0.000528058
55,2895.1,1.4133,1.79516,0.01334,0.70566,0.54632,0.58985,0.39741,1.41215,1.68673,0.00928,0.000517059,0.000517059,0.000517059
56,2945.26,1.34583,1.60566,0.0102,0.7044,0.55137,0.59502,0.4193,1.33476,1.63738,0.00897,0.00050606,0.00050606,0.00050606
57,2997.95,1.35467,1.56964,0.01038,0.70037,0.52748,0.57952,0.39754,1.4289,1.72903,0.00947,0.000495062,0.000495062,0.000495062
58,3059.39,1.40536,1.67517,0.01148,0.69274,0.53979,0.57897,0.40395,1.38563,1.6976,0.00933,0.000484063,0.000484063,0.000484063
59,3109.7,1.33659,1.58743,0.01006,0.66661,0.543,0.58262,0.41408,1.35767,1.68368,0.00916,0.000473064,0.000473064,0.000473064
60,3161.27,1.34184,1.63543,0.01046,0.69442,0.55902,0.58637,0.41649,1.35994,1.64575,0.00904,0.000462065,0.000462065,0.000462065
61,3213.23,1.43027,1.69213,0.01108,0.6698,0.53298,0.57795,0.41485,1.3329,1.66002,0.00893,0.000451066,0.000451066,0.000451066
62,3262.8,1.29388,1.69098,0.00928,0.6615,0.5289,0.56925,0.39923,1.37929,1.70768,0.00931,0.000440067,0.000440067,0.000440067
